Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
692,Text,1996-10-01,The Complete Works of James Whitcomb Riley — Volume 10,en,"Riley, James Whitcomb, 1849-1916","American poetry; Short stories, American; American essays",PS,Category: Poetry; Category: Novels; Category: American Literature
693,Text,2006-01-21,"The Autobiography of a Quack, and The Case of George Dedlow",en,"Mitchell, S. Weir (Silas Weir), 1829-1914",Didactic fiction; Social problems -- Fiction; Political fiction,PS,Category: Humour; Category: Novels; Category: American Literature
694,Text,1996-10-01,Stories from Everybody's Magazine,en,Various,Fiction; Short stories,PN,Category: Short Stories; Category: Children & Young Adult Reading
695,Text,1996-10-01,"Glaucus; Or, The Wonders of the Shore",en,"Kingsley, Charles, 1819-1875",Natural history -- Juvenile literature; Seashore biology -- Juvenile literature,QH; QL,Category: Science - Biology; Category: Nature/Gardening/Animals
696,Text,1996-10-01,The Castle of Otranto,en,"Walpole, Horace, 1717-1797; Morley, Henry, 1822-1894 [Editor]",Horror tales; Inheritance and succession -- Fiction; Gothic fiction,PR,Gothic Fiction; Category: Novels; Category: Classics of Literature; Category: British Literature
697,Text,1996-10-01,The Light Princess,en,"MacDonald, George, 1824-1905","Fairy tales; Children's stories, English; Fairy tales -- Great Britain",PR; PZ,"Children's Literature; Category: Children & Young Adult Reading; Category: Science-Fiction & Fantasy; Category: Mythology, Legends & Folklore; Category: British Literature"
698,Text,1996-10-01,Memoir of Fleeming Jenkin,en,"Stevenson, Robert Louis, 1850-1894","Biography; Jenkin, Fleeming, 1833-1885",Q,Category: Biographies
699,Text,1996-10-01,A Child's History of England,en,"Dickens, Charles, 1812-1870; Townsend, F. H. (Frederick Henry), 1868-1920 [Illustrator]",Great Britain -- History -- Juvenile literature,DA,Children's History; United Kingdom; Category: Children & Young Adult Reading; Category: History - British
700,Text,1996-10-01,The Old Curiosity Shop,en,"Dickens, Charles, 1812-1870",Didactic fiction; England -- Fiction; Domestic fiction; Grandparent and child -- Fiction; Antique dealers -- Fiction; Grandfathers -- Fiction; Gamblers -- Fiction; Girls -- Fiction,PR,Category: Novels; Category: British Literature
701,Text,1996-10-01,The King of the Golden River,en,"Ruskin, John, 1819-1900",Short stories; Fairy tales; Didactic fiction; Conduct of life -- Juvenile fiction,PR; PZ,"Category: Children & Young Adult Reading; Category: Mythology, Legends & Folklore"
702,Text,1996-10-01,Somebody's Little Girl,en,"Young, Martha, 1868-",Girls -- Juvenile fiction; Orphanages -- Juvenile fiction,PZ,Category: Children & Young Adult Reading; Category: Novels
703,Text,1996-10-01,Lucasta,en,"Lovelace, Richard, 1618-1658","English poetry -- Early modern, 1500-1700",PR,Category: Poetry; Category: British Literature
704,Text,1996-10-01,The Mansion,en,"Van Dyke, Henry, 1852-1933",Short stories; Christmas stories; Christian life -- Fiction; Conduct of life -- Fiction; Christian fiction; Future life -- Fiction; Immortality -- Fiction,PZ; PS,Category: Novels; Category: American Literature
705,Text,1996-11-01,The Roadmender,en,"Fairless, Michael, 1869-1901",Fiction; Short stories,PR,Category: Novels; Category: British Literature; Category: Philosophy & Ethics
706,Text,1996-11-01,The Amateur Cracksman,en,"Hornung, E. W. (Ernest William), 1866-1921","England -- Fiction; Detective and mystery stories, English; Criminals -- Fiction; Raffles (Fictitious character) -- Fiction",PR,"Crime Fiction; Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: British Literature"
707,Text,1996-11-01,Raffles: Further Adventures of the Amateur Cracksman,en,"Hornung, E. W. (Ernest William), 1866-1921",Raffles (Fictitious character) -- Fiction; Criminals -- England -- Fiction; Mystery fiction,PR,"Crime Fiction; Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: British Literature"
